Year,Vulnerability Type,Count,Severity,CVSS Score,Exploitability Score,Affected Devices,Impact
2023,Race Condition,35,High,5.7,0.95,API,System takeover   Privilege escalation
2021,Cross  Site Scripting,33,Critical,7.5,0.79,IoT Devices,Sensitive data leak
2023,Improper Input Validation,43,Critical,8.1,0.75,Web Application,Unauthorized access   System control
2022,Privilege Escalation,8,Low,5.5,0.58,API,Data theft   Remote code execution
2022,Cross  Site Scripting,6,High,10.0,0.62,Database,System takeover   Privilege escalation
2023,SQL Injection,7,Low,8.7,0.5,Router,Privilege escalation   Denial    Service
2023,Server  Side Request Forgery,47,High,7.7,0.54,Router,Remote code execution
2021,Misconfiguration    Security Headers,8,Low,4.5,0.81,Server,Session hijacking
2022,Insecure Deserialization,6,High,5.7,0.78,Cameras,Unauthorized access   System control
2021,Authentication Bypass,34,Medium,6.2,0.77,Router,Sensitive data leak
2021,Server  Side Request Forgery,29,Medium,4.9,0.67,Router,Sensitive data leak
2022,Insecure Deserialization,16,Low,5.6,0.81,Firmware,Sensitive data leak
2022,Cross  Site Request Forgery,29,High,6.4,0.59,IoT Devices,Unauthorized access   System control
2022,Insufficient Logging   Monitoring,9,Critical,7.5,0.68,API,Unauthorized access   Data loss
2023,Buffer Overflow,31,High,6.2,0.86,IoT Devices,System takeover   Privilege escalation
2023,Insufficient Logging   Monitoring,1,Critical,4.7,0.98,API,Data exposure
2023,XML External Entity (XXE),3,High,6.9,0.66,Router,Detection delay   Long  term impact
2023,Privilege Escalation,34,High,4.9,0.91,IoT Devices,Unauthorized access   System control
2023,Insecure Deserialization,6,Critical,4.0,0.71,Firmware,System takeover   Privilege escalation
2023,Server  Side Request Forgery,36,High,7.7,0.64,API,Privilege escalation   Denial    Service
2021,Remote File Inclusion,22,Low,7.5,0.95,Firmware,Privilege escalation   Denial    Service
2021,Weak Cryptography,1,Low,8.4,0.95,IoT Devices,Session hijacking
2021,XML External Entity (XXE),32,Critical,6.1,0.53,Firmware,Session hijacking
2021,Remote File Inclusion,4,Medium,8.3,0.72,Cameras,Detection delay   Long  term impact
2021,Information Disclosure,37,High,8.3,0.71,Storage,System takeover   Privilege escalation
2023,Insecure Deserialization,49,Medium,9.7,0.7,Storage,Unauthorized access   System control
2022,Authentication Bypass,41,Medium,8.9,0.61,Storage,Data theft   Remote code execution
2022,Race Condition,47,Critical,8.3,0.88,Database,Unauthorized access   Data loss
2021,Information Disclosure,41,Low,7.1,0.73,API,Privilege escalation   Denial    Service
2023,Server  Side Request Forgery,50,Critical,8.8,0.98,API,System takeover   Privilege escalation
2022,Directory Traversal,8,High,7.2,0.54,Workstation,Privilege escalation   Denial    Service
2021,Insecure Direct Object Reference,8,High,8.4,0.97,Storage,Unauthorized access   Data loss
2023,XML External Entity (XXE),22,Medium,9.0,0.86,Router,Remote code execution
2023,Weak Cryptography,8,Low,5.4,0.97,API,Session hijacking
2021,Information Disclosure,15,Medium,7.0,0.72,Server,Sensitive data leak
2022,Race Condition,2,Medium,4.7,0.82,Workstation,Privilege escalation   Denial    Service
2023,SQL Injection,7,Medium,5.1,0.56,Web Application,Remote code execution
2022,Authentication Bypass,22,Medium,5.3,0.85,Server,Data theft   Remote code execution
2023,Path Traversal,15,High,4.9,0.99,API,Unauthorized access   Data loss
2023,Weak Cryptography,46,Low,9.8,0.63,Cameras,Remote code execution
2023,Path Traversal,26,Low,5.4,0.77,API,Detection delay   Long  term impact
2023,Directory Traversal,25,High,4.4,0.86,Web Application,Data theft   Remote code execution
2022,XML External Entity (XXE),18,Medium,5.2,0.97,Web Application,Remote code execution
2022,Insecure Direct Object Reference,6,Critical,6.0,0.67,Workstation,System takeover   Privilege escalation
2022,Cross  Site Scripting,41,Critical,5.7,0.72,Workstation,Remote code execution
2022,Race Condition,13,High,8.3,0.97,Switch,Unauthorized access   System control
2021,Race Condition,17,High,5.6,0.98,API,Sensitive data leak
2021,Path Traversal,36,High,8.0,0.72,Storage,Data theft   Remote code execution
2021,SQL Injection,17,Low,7.2,0.84,Database,Sensitive data leak
2023,XML External Entity (XXE),24,Low,9.9,0.77,Web Application,Data theft   Remote code execution
2021,Insecure Deserialization,17,Low,8.9,0.86,Router,System takeover   Privilege escalation
2021,Insufficient Logging   Monitoring,10,Critical,7.1,0.53,IoT Devices,System takeover   Privilege escalation
2022,Race Condition,14,Medium,4.4,0.82,Router,Unauthorized access   System control
2023,Server  Side Request Forgery,10,High,4.5,0.52,API,Sensitive data leak
2022,Comm  Injection,24,Critical,5.7,0.71,Switch,System takeover   Privilege escalation
2022,Cross  Site Scripting,50,Medium,7.5,0.9,IoT Devices,Session hijacking
2023,XML External Entity (XXE),13,High,4.4,0.98,IoT Devices,Detection delay   Long  term impact
2022,Information Disclosure,43,Medium,8.2,1.0,Cameras,Data theft   Remote code execution
2021,Comm  Injection,13,Medium,9.9,0.83,Database,Remote code execution
2022,Weak Cryptography,13,Low,7.1,0.6,API,Unauthorized access   Data loss
2022,Race Condition,2,Medium,10.0,0.67,IoT Devices,Session hijacking
2022,Improper Input Validation,48,Low,7.5,0.91,API,Detection delay   Long  term impact
2022,Directory Traversal,49,Critical,8.5,0.7,API,Data exposure
2022,Improper Input Validation,48,Medium,5.6,0.59,Web Application,Detection delay   Long  term impact
2023,Improper Input Validation,28,Low,4.7,0.6,Firmware,Remote code execution
2021,Insufficient Logging   Monitoring,15,Low,6.2,0.96,Storage,Remote code execution
2023,Weak Cryptography,32,Low,8.1,0.65,Router,Remote code execution
2021,Insecure Deserialization,15,Medium,5.4,0.85,Switch,Session hijacking
2023,Comm  Injection,50,Critical,5.4,0.93,Database,Unauthorized access   Data loss
2022,Information Disclosure,24,High,7.1,0.74,Switch,Unauthorized access   Data loss
2021,Cross  Site Scripting,5,Low,8.0,0.86,Firmware,Remote code execution
2022,Privilege Escalation,8,Medium,4.0,0.99,Switch,Unauthorized access   Data loss
2023,Insufficient Logging   Monitoring,46,Medium,7.8,0.52,Workstation,Session hijacking
2022,Privilege Escalation,36,Low,9.2,0.77,Storage,System takeover   Privilege escalation
2023,Insecure Deserialization,32,Critical,9.1,0.89,Server,System takeover   Privilege escalation
2021,Weak Cryptography,6,High,5.1,0.82,Switch,Session hijacking
2022,Remote File Inclusion,12,Low,9.7,0.73,API,Detection delay   Long  term impact
2021,Buffer Overflow,50,Low,4.8,0.89,Router,Unauthorized access   System control
2023,SQL Injection,32,Medium,4.5,0.61,Switch,Privilege escalation   Denial    Service
2023,XML External Entity (XXE),31,High,6.9,0.62,Database,Session hijacking
2023,Insecure Deserialization,46,Medium,7.6,0.64,IoT Devices,System takeover   Privilege escalation
2023,Authentication Bypass,12,Medium,4.2,0.99,Database,Sensitive data leak
2023,Buffer Overflow,21,High,7.9,0.88,Storage,System takeover   Privilege escalation
2021,Insecure Deserialization,39,Low,6.6,0.82,Storage,System takeover   Privilege escalation
2023,Comm  Injection,45,Low,9.8,0.63,Switch,Sensitive data leak
2023,Misconfiguration    Security Headers,7,High,6.5,0.83,API,Detection delay   Long  term impact
2022,Path Traversal,39,Critical,4.4,0.86,Cameras,Privilege escalation   Denial    Service
2023,Authentication Bypass,5,Low,9.4,0.65,API,System takeover   Privilege escalation
2022,Directory Traversal,20,Low,8.9,0.86,Server,Unauthorized access   System control
2021,SQL Injection,41,Critical,6.9,0.92,Web Application,Remote code execution
2022,Information Disclosure,37,Critical,7.2,0.82,API,Detection delay   Long  term impact
2022,Privilege Escalation,9,Medium,8.3,0.69,Firmware,Remote code execution
2022,Improper Input Validation,47,Low,6.3,0.98,Cameras,Detection delay   Long  term impact
2023,Privilege Escalation,48,Critical,9.3,0.71,Storage,Privilege escalation   Denial    Service
2023,Race Condition,43,Medium,5.7,0.73,Cameras,Detection delay   Long  term impact
2023,Directory Traversal,4,Low,8.9,0.74,IoT Devices,Data theft   Remote code execution
2022,Information Disclosure,45,High,4.3,0.71,Router,Sensitive data leak
2022,Weak Cryptography,4,Critical,4.0,0.59,Cameras,Data theft   Remote code execution
2021,Authentication Bypass,9,Medium,5.0,0.96,Database,Data exposure
2023,Authentication Bypass,29,Medium,6.7,0.91,Storage,Session hijacking
2022,Insufficient Logging   Monitoring,40,High,9.3,0.55,Cameras,Privilege escalation   Denial    Service
2023,Information Disclosure,36,Critical,7.3,0.84,Server,Unauthorized access   System control
2021,Path Traversal,12,Medium,9.1,0.98,API,Unauthorized access   System control
2023,Directory Traversal,18,Medium,9.1,0.84,Router,Unauthorized access   Data loss
2022,Buffer Overflow,35,Critical,6.0,0.62,Web Application,System takeover   Privilege escalation
2023,Improper Input Validation,1,High,8.6,0.6,Web Application,Data theft   Remote code execution
2023,Improper Input Validation,28,Critical,9.4,0.58,Cameras,Remote code execution
2023,Remote File Inclusion,8,Low,4.2,0.92,Workstation,Data theft   Remote code execution
2021,Insufficient Logging   Monitoring,22,Critical,9.6,0.54,Firmware,Data theft   Remote code execution
2022,Information Disclosure,4,Critical,4.7,0.81,IoT Devices,Sensitive data leak
2021,Cross  Site Request Forgery,36,Low,7.6,0.9,Switch,Unauthorized access   System control
2021,Insufficient Logging   Monitoring,31,Medium,4.7,0.83,Web Application,Detection delay   Long  term impact
2021,Authentication Bypass,48,Low,6.7,0.79,Router,Unauthorized access   Data loss
2021,Path Traversal,41,High,5.7,0.93,Server,Data theft   Remote code execution
2023,Authentication Bypass,9,High,8.6,0.64,Firmware,System takeover   Privilege escalation
2022,Insecure Deserialization,18,Low,9.5,0.61,Database,System takeover   Privilege escalation
2022,Information Disclosure,38,High,7.5,0.99,Storage,Data exposure
2023,Directory Traversal,18,Medium,7.2,0.66,Web Application,Unauthorized access   Data loss
2021,Cross  Site Scripting,40,High,8.0,0.89,Firmware,Remote code execution
2021,Information Disclosure,29,Medium,8.8,0.61,Firmware,Unauthorized access   Data loss
2023,Improper Input Validation,6,High,4.1,0.74,API,Detection delay   Long  term impact
2023,Weak Cryptography,9,Low,6.4,0.71,Router,System takeover   Privilege escalation
2022,Comm  Injection,47,Medium,8.4,0.52,Cameras,Session hijacking
2022,Insecure Direct Object Reference,25,High,8.6,0.84,Storage,Detection delay   Long  term impact
2023,Information Disclosure,46,Low,8.2,0.54,Router,Session hijacking
2023,Insecure Deserialization,5,Medium,7.5,0.66,Server,Data exposure
2021,Insecure Deserialization,48,Medium,7.1,0.56,Workstation,Unauthorized access   Data loss
2022,Buffer Overflow,34,High,5.5,0.88,Firmware,Unauthorized access   Data loss
2022,Information Disclosure,48,Critical,9.1,0.75,Storage,Data theft   Remote code execution
2023,Improper Input Validation,32,Low,4.7,0.92,Web Application,Session hijacking
2021,Authentication Bypass,3,Critical,6.3,0.99,Router,Detection delay   Long  term impact
2022,Insecure Deserialization,2,Critical,8.9,0.88,Server,Data exposure
2021,Weak Cryptography,6,High,6.5,0.68,Workstation,Data exposure
2022,Server  Side Request Forgery,44,Low,8.7,0.74,Firmware,Detection delay   Long  term impact
2021,Cross  Site Scripting,38,Low,9.7,0.73,Switch,Privilege escalation   Denial    Service
2023,Insufficient Logging   Monitoring,26,Medium,7.3,0.92,Workstation,Unauthorized access   Data loss
2023,Server  Side Request Forgery,15,Critical,6.3,0.68,Switch,System takeover   Privilege escalation
2023,Information Disclosure,2,Critical,6.7,0.77,Storage,Unauthorized access   System control
2021,SQL Injection,5,Critical,8.8,0.87,Database,Detection delay   Long  term impact
2021,Insecure Direct Object Reference,27,Low,6.7,0.62,Workstation,Data theft   Remote code execution
2023,SQL Injection,12,Medium,8.8,0.91,Switch,System takeover   Privilege escalation
2022,Weak Cryptography,22,Critical,9.2,0.91,API,Remote code execution
2021,Path Traversal,45,High,5.2,0.65,Workstation,Data theft   Remote code execution
2021,Buffer Overflow,5,Low,7.7,0.71,Workstation,System takeover   Privilege escalation
2023,Cross  Site Scripting,26,Medium,8.4,0.6,Storage,Unauthorized access   Data loss
2023,Insecure Deserialization,4,High,9.7,0.69,Server,Sensitive data leak
2022,Server  Side Request Forgery,1,High,4.6,0.94,Firmware,Session hijacking
2022,XML External Entity (XXE),26,Medium,7.6,0.59,Workstation,System takeover   Privilege escalation
2023,Privilege Escalation,42,Medium,8.8,0.74,Cameras,Data theft   Remote code execution
2022,Remote File Inclusion,14,High,5.9,0.83,Firmware,Unauthorized access   Data loss
2021,Misconfiguration    Security Headers,42,High,8.3,0.57,IoT Devices,System takeover   Privilege escalation
2021,Insecure Direct Object Reference,17,Low,6.0,0.86,Web Application,Detection delay   Long  term impact
2021,Insufficient Logging   Monitoring,3,Critical,7.3,0.65,API,Unauthorized access   Data loss
2022,Authentication Bypass,10,High,5.4,0.62,Firmware,Detection delay   Long  term impact
2022,Insecure Direct Object Reference,11,High,4.9,0.7,Firmware,Unauthorized access   System control
2021,Insufficient Logging   Monitoring,6,Medium,8.1,0.77,Database,Remote code execution
2022,Comm  Injection,9,Critical,9.0,0.91,Database,Data theft   Remote code execution
2022,Path Traversal,13,Critical,8.5,0.6,Web Application,Detection delay   Long  term impact
2023,Insecure Deserialization,7,Critical,4.3,0.87,Firmware,System takeover   Privilege escalation
2022,Cross  Site Scripting,29,Medium,6.1,0.83,IoT Devices,Session hijacking
2021,Buffer Overflow,26,High,6.6,1.0,Switch,System takeover   Privilege escalation
2023,XML External Entity (XXE),45,High,6.8,0.52,Cameras,Unauthorized access   System control
2021,Comm  Injection,30,Medium,7.0,0.62,Workstation,Data theft   Remote code execution
2022,Race Condition,8,Critical,7.9,0.73,Server,Data theft   Remote code execution
2023,Comm  Injection,26,Critical,4.8,0.61,Database,Unauthorized access   System control
2022,Insecure Deserialization,32,High,4.9,0.67,Cameras,Session hijacking
2021,Improper Input Validation,47,High,8.0,0.52,Server,Unauthorized access   Data loss
2021,Buffer Overflow,30,Critical,5.0,0.96,API,System takeover   Privilege escalation
2022,Race Condition,18,Medium,9.1,0.87,Workstation,Privilege escalation   Denial    Service
2021,Insecure Deserialization,31,Critical,5.0,0.85,Workstation,Unauthorized access   System control
2021,Information Disclosure,16,Critical,5.0,0.54,IoT Devices,Session hijacking
2023,Insecure Direct Object Reference,22,Critical,6.2,0.55,Cameras,Data theft   Remote code execution
2023,Insecure Direct Object Reference,20,Medium,7.5,1.0,Firmware,Remote code execution
2023,Insecure Deserialization,12,Medium,7.2,0.56,Firmware,Data theft   Remote code execution
2022,Privilege Escalation,14,High,7.8,0.89,IoT Devices,Privilege escalation   Denial    Service
2022,Information Disclosure,40,Medium,6.8,0.87,Web Application,Privilege escalation   Denial    Service
2023,Cross  Site Request Forgery,32,Critical,7.0,0.8,Switch,System takeover   Privilege escalation
2023,Race Condition,3,Medium,8.4,0.96,Cameras,Session hijacking
2023,Privilege Escalation,50,Low,6.4,0.81,IoT Devices,Data theft   Remote code execution
2023,Comm  Injection,37,High,6.4,0.72,Firmware,Remote code execution
2021,Misconfiguration    Security Headers,9,High,4.7,0.94,IoT Devices,Data exposure
2023,Insecure Deserialization,23,Low,9.2,0.77,Cameras,Unauthorized access   Data loss
2022,Cross  Site Scripting,5,Critical,6.5,0.79,Cameras,Sensitive data leak
2021,Race Condition,20,High,5.6,0.53,Server,Data exposure
2022,Insecure Direct Object Reference,28,Critical,7.5,0.73,Web Application,Sensitive data leak
2023,Privilege Escalation,33,Critical,6.2,0.6,Database,Data exposure
2021,Misconfiguration    Security Headers,35,Critical,6.3,0.65,IoT Devices,Data exposure
2021,Comm  Injection,34,Low,7.1,0.9,Database,Unauthorized access   Data loss
2022,Race Condition,20,Low,5.0,0.96,IoT Devices,Session hijacking
2023,Race Condition,12,Low,5.0,0.96,API,Data theft   Remote code execution
2022,XML External Entity (XXE),33,Low,5.1,0.87,Cameras,Data exposure
2021,Insecure Deserialization,33,Medium,4.9,0.62,Database,System takeover   Privilege escalation
2021,Comm  Injection,7,Low,8.4,0.66,Database,Detection delay   Long  term impact
2023,Buffer Overflow,19,Low,7.6,0.93,Router,System takeover   Privilege escalation
2023,Information Disclosure,13,High,6.4,0.54,API,System takeover   Privilege escalation
2023,SQL Injection,15,Low,7.2,0.79,Switch,Unauthorized access   System control
2023,Misconfiguration    Security Headers,38,Low,8.2,0.76,Web Application,Session hijacking
2021,XML External Entity (XXE),19,Medium,6.7,0.89,Cameras,Unauthorized access   System control
2021,Improper Input Validation,35,High,9.2,0.68,Web Application,Data exposure
2022,Buffer Overflow,26,Low,4.4,0.66,Router,Data exposure
2022,Directory Traversal,9,Medium,6.4,0.87,API,Session hijacking
2023,Insecure Deserialization,33,High,4.9,0.73,Router,Sensitive data leak
2023,SQL Injection,26,Low,7.5,0.89,IoT Devices,Data theft   Remote code execution
2021,Cross  Site Scripting,15,Critical,7.2,0.83,Router,Data theft   Remote code execution
2023,Improper Input Validation,33,High,7.4,0.96,Switch,Data theft   Remote code execution
2023,Privilege Escalation,13,Medium,5.0,0.74,API,Data exposure
2023,Weak Cryptography,6,Critical,8.1,0.68,Cameras,Privilege escalation   Denial    Service
2022,Misconfiguration    Security Headers,18,Medium,5.3,0.71,Workstation,Sensitive data leak
2022,Insufficient Logging   Monitoring,5,Medium,6.2,0.51,API,Session hijacking
2023,Authentication Bypass,19,Critical,4.8,0.9,Router,Data exposure
2022,Improper Input Validation,3,High,7.7,0.8,IoT Devices,Sensitive data leak
2023,Remote File Inclusion,24,High,6.5,0.53,Database,Unauthorized access   Data loss
2022,Improper Input Validation,32,High,4.6,0.57,Server,System takeover   Privilege escalation
2023,Privilege Escalation,8,High,9.5,0.96,Server,Remote code execution
2021,Cross  Site Scripting,34,High,5.0,0.73,Storage,Detection delay   Long  term impact
2022,Buffer Overflow,22,Medium,6.6,0.74,Router,Sensitive data leak
2022,Information Disclosure,21,High,8.2,0.85,Server,System takeover   Privilege escalation
2023,XML External Entity (XXE),12,Medium,4.2,0.94,Firmware,Data exposure
2023,Insufficient Logging   Monitoring,50,High,9.3,0.85,Firmware,Sensitive data leak
2023,Comm  Injection,28,Low,5.7,0.67,Cameras,Session hijacking
2022,Weak Cryptography,9,Medium,5.0,0.74,Storage,Sensitive data leak
2023,Improper Input Validation,45,Low,8.1,0.85,Database,Unauthorized access   Data loss
2023,Remote File Inclusion,35,Critical,6.8,0.64,Server,Data theft   Remote code execution
2023,Insecure Direct Object Reference,33,Low,8.5,0.7,Database,Remote code execution
2023,Cross  Site Request Forgery,26,Critical,7.1,0.89,Workstation,Remote code execution
2021,Comm  Injection,20,Medium,4.6,0.57,IoT Devices,Detection delay   Long  term impact
2023,Improper Input Validation,17,Low,6.7,0.75,API,Remote code execution
2022,XML External Entity (XXE),43,Medium,8.2,0.63,Firmware,Sensitive data leak
2022,Buffer Overflow,4,Medium,8.3,0.56,Database,Detection delay   Long  term impact
2022,Comm  Injection,22,Low,9.7,0.76,Switch,Sensitive data leak
2022,Cross  Site Scripting,13,Critical,9.9,0.8,IoT Devices,Sensitive data leak
2022,Cross  Site Request Forgery,21,Critical,4.2,0.79,Storage,Data exposure
2021,Server  Side Request Forgery,49,Critical,7.3,0.53,API,Unauthorized access   System control
2021,Directory Traversal,2,Critical,4.9,0.82,Workstation,Unauthorized access   System control
2023,Weak Cryptography,5,Medium,6.3,0.79,Database,System takeover   Privilege escalation
2022,Insufficient Logging   Monitoring,12,Critical,8.4,0.95,Switch,Unauthorized access   System control
2021,Insecure Direct Object Reference,41,Medium,7.7,0.85,Database,Sensitive data leak
2023,Buffer Overflow,30,Low,5.8,0.56,Database,Unauthorized access   Data loss
2023,Comm  Injection,28,High,6.7,0.56,Database,Session hijacking
2023,Race Condition,33,Medium,8.9,0.97,Router,Unauthorized access   Data loss
2021,Path Traversal,1,Critical,6.8,0.86,Database,Unauthorized access   Data loss
2022,XML External Entity (XXE),42,Medium,6.9,0.93,Router,Unauthorized access   Data loss
2023,Privilege Escalation,20,Critical,8.0,0.98,Switch,Remote code execution
2022,Buffer Overflow,22,Medium,5.9,0.76,Firmware,Data exposure
2022,Weak Cryptography,35,Medium,4.7,0.71,Router,Unauthorized access   Data loss
2021,XML External Entity (XXE),25,Critical,8.1,0.83,Database,Session hijacking
2021,Information Disclosure,15,Medium,6.1,0.96,Server,Detection delay   Long  term impact
2021,Insufficient Logging   Monitoring,44,Medium,4.8,0.7,Server,Remote code execution
2022,Server  Side Request Forgery,48,Low,6.3,0.74,Firmware,Data theft   Remote code execution
2021,Cross  Site Scripting,46,Critical,5.1,0.83,Server,Detection delay   Long  term impact
2022,Cross  Site Scripting,38,Medium,7.1,0.78,Server,Remote code execution
2022,Insecure Deserialization,4,Low,5.9,0.76,Database,Data theft   Remote code execution
2023,Misconfiguration    Security Headers,29,Medium,7.0,0.87,Storage,Sensitive data leak
2023,Comm  Injection,20,Medium,5.3,0.82,Server,Sensitive data leak
2021,Improper Input Validation,19,Critical,7.7,0.93,Workstation,Privilege escalation   Denial    Service
2021,Insecure Direct Object Reference,46,Medium,5.7,0.57,Database,Unauthorized access   System control
2022,Race Condition,20,Low,5.4,0.63,API,Detection delay   Long  term impact
2021,Insufficient Logging   Monitoring,30,Critical,9.7,0.9,Server,Data theft   Remote code execution
2023,Privilege Escalation,4,High,5.6,0.59,Web Application,Session hijacking
2023,Improper Input Validation,31,High,7.7,0.63,Cameras,Detection delay   Long  term impact
2021,Path Traversal,11,Medium,9.0,0.94,API,Remote code execution
2021,Misconfiguration    Security Headers,2,Critical,5.5,0.84,API,Unauthorized access   System control
2021,Cross  Site Scripting,30,Low,5.7,0.93,Cameras,System takeover   Privilege escalation
2023,Misconfiguration    Security Headers,5,High,5.1,0.7,Switch,Remote code execution
2022,Authentication Bypass,24,Critical,5.7,0.74,Web Application,Detection delay   Long  term impact
2023,Directory Traversal,31,Critical,6.1,0.72,Server,Unauthorized access   System control
2023,SQL Injection,23,Critical,7.6,0.97,Server,Session hijacking
2023,SQL Injection,19,Critical,5.2,0.51,Database,Remote code execution
2021,Authentication Bypass,37,Low,7.6,0.58,IoT Devices,Unauthorized access   System control
2021,Buffer Overflow,29,Critical,5.3,0.69,Switch,Sensitive data leak
2023,Directory Traversal,33,Low,8.5,0.7,Database,System takeover   Privilege escalation
2023,Improper Input Validation,25,Low,8.6,0.69,Workstation,System takeover   Privilege escalation
2022,SQL Injection,31,Low,7.0,0.61,API,Data exposure
2021,XML External Entity (XXE),19,Medium,6.6,0.88,IoT Devices,Detection delay   Long  term impact
2023,SQL Injection,8,Low,6.8,0.63,Router,Detection delay   Long  term impact
2023,Remote File Inclusion,7,High,6.5,0.66,Server,Remote code execution
2022,Race Condition,40,Medium,9.3,0.83,Workstation,Session hijacking
2021,Cross  Site Scripting,3,Low,4.7,0.89,IoT Devices,Data exposure
2021,Insecure Deserialization,48,Low,4.7,0.61,Switch,Data theft   Remote code execution
2021,Directory Traversal,32,Critical,9.4,0.56,Switch,System takeover   Privilege escalation
2023,Information Disclosure,50,Critical,9.2,0.78,Workstation,Detection delay   Long  term impact
2023,Remote File Inclusion,15,Critical,5.1,0.71,Web Application,Detection delay   Long  term impact
2021,Path Traversal,5,High,9.0,0.65,Router,Unauthorized access   Data loss
2021,XML External Entity (XXE),25,Medium,9.6,0.91,Database,Sensitive data leak
2022,Misconfiguration    Security Headers,46,High,9.2,0.81,API,Data theft   Remote code execution
2023,Directory Traversal,11,Critical,6.0,0.78,Web Application,Privilege escalation   Denial    Service
2023,Insecure Direct Object Reference,26,Low,5.3,0.5,Firmware,System takeover   Privilege escalation
2021,Insecure Direct Object Reference,32,Medium,5.1,0.93,IoT Devices,Data exposure
2023,Race Condition,50,Medium,7.4,0.74,Database,Data theft   Remote code execution
2022,Race Condition,43,High,7.7,0.63,Cameras,Sensitive data leak
2023,Authentication Bypass,42,Medium,9.2,0.88,Workstation,Sensitive data leak
2022,Remote File Inclusion,10,Low,4.2,1.0,API,Privilege escalation   Denial    Service
2021,Insecure Deserialization,15,High,8.7,0.78,Web Application,Unauthorized access   Data loss
2021,Remote File Inclusion,13,Critical,7.0,0.51,Firmware,Detection delay   Long  term impact
2023,Race Condition,34,Critical,9.1,0.85,Storage,Unauthorized access   Data loss
2021,Remote File Inclusion,22,Medium,7.6,0.68,Router,Data theft   Remote code execution
2022,Insecure Deserialization,39,Low,6.5,0.9,Cameras,Data exposure
2021,Race Condition,9,Medium,5.6,0.69,Router,Remote code execution
2023,Cross  Site Request Forgery,2,Medium,8.4,0.86,Cameras,Privilege escalation   Denial    Service
2022,Cross  Site Request Forgery,39,Medium,7.3,0.56,Server,Unauthorized access   System control
2022,SQL Injection,28,Low,6.6,0.87,Server,System takeover   Privilege escalation
2022,Comm  Injection,23,High,4.3,0.89,Web Application,Privilege escalation   Denial    Service
2022,SQL Injection,47,High,8.7,0.82,IoT Devices,Data exposure
2021,Misconfiguration    Security Headers,48,High,9.9,0.89,Database,Remote code execution
2022,Comm  Injection,15,Critical,7.1,0.51,Web Application,System takeover   Privilege escalation
2022,SQL Injection,41,High,7.5,0.53,Switch,Unauthorized access   Data loss
2021,SQL Injection,25,Medium,8.0,0.8,Switch,Data theft   Remote code execution
2022,Cross  Site Scripting,13,Medium,4.7,0.65,API,Remote code execution
2023,Weak Cryptography,21,Medium,6.5,0.6,Switch,Sensitive data leak
2023,Directory Traversal,47,Critical,6.2,0.98,IoT Devices,Unauthorized access   System control
2023,Path Traversal,28,Critical,9.0,0.72,Storage,Unauthorized access   System control
2021,Insecure Deserialization,20,Critical,9.1,0.86,Switch,Session hijacking
2021,Race Condition,11,Medium,6.2,0.93,API,Data theft   Remote code execution
2022,Improper Input Validation,26,Medium,9.3,1.0,Storage,Data theft   Remote code execution
2023,Race Condition,11,Low,7.9,0.98,Database,Privilege escalation   Denial    Service
2021,Privilege Escalation,20,Low,9.8,0.81,Workstation,Detection delay   Long  term impact
2023,XML External Entity (XXE),22,Critical,4.9,0.79,Database,Unauthorized access   Data loss
2021,Server  Side Request Forgery,4,High,7.7,0.95,Switch,Data exposure
2023,Insecure Direct Object Reference,15,Medium,8.0,0.59,Storage,Data theft   Remote code execution
2023,Misconfiguration    Security Headers,49,High,9.8,0.85,Storage,Unauthorized access   System control
2021,Path Traversal,39,High,7.2,0.67,API,Data exposure
2022,Weak Cryptography,14,Low,9.6,0.8,Firmware,Detection delay   Long  term impact
2023,Information Disclosure,36,Medium,6.0,0.98,API,Unauthorized access   Data loss
2021,Improper Input Validation,43,Medium,8.9,0.82,Server,Session hijacking
2021,XML External Entity (XXE),35,High,9.2,0.59,Web Application,Data theft   Remote code execution
2022,Insecure Direct Object Reference,12,Critical,8.1,0.56,API,Session hijacking
2023,Insecure Direct Object Reference,33,Low,8.3,0.62,Web Application,Remote code execution
2021,Comm  Injection,7,High,7.9,0.68,Server,Sensitive data leak
2021,XML External Entity (XXE),32,Medium,5.9,0.97,Switch,Privilege escalation   Denial    Service
2023,Cross  Site Scripting,13,Critical,4.6,0.84,Server,System takeover   Privilege escalation
2022,Server  Side Request Forgery,30,Low,7.1,0.52,Router,System takeover   Privilege escalation
2021,Insecure Direct Object Reference,25,High,8.1,0.86,Web Application,System takeover   Privilege escalation
2022,Server  Side Request Forgery,32,High,5.0,0.88,Firmware,Detection delay   Long  term impact
2021,Weak Cryptography,11,Medium,7.2,0.88,IoT Devices,System takeover   Privilege escalation
2022,Information Disclosure,19,Low,7.9,0.66,Workstation,Detection delay   Long  term impact
2023,Information Disclosure,17,Critical,9.6,0.83,Firmware,Session hijacking
2023,Buffer Overflow,10,Critical,9.1,0.65,Workstation,Unauthorized access   Data loss
2021,Weak Cryptography,21,Medium,6.2,0.79,Workstation,Remote code execution
2023,SQL Injection,44,Medium,7.1,0.64,Router,Detection delay   Long  term impact
2021,Insecure Deserialization,8,Low,4.7,0.72,Switch,Session hijacking
2021,Path Traversal,46,High,8.3,0.88,Router,Session hijacking
2022,Remote File Inclusion,37,Medium,5.3,0.72,Server,Data theft   Remote code execution
